Ime,Znamka,Količina,Cena,Originalna cena,Popust,Prednosti
Masažno olje za ogrevanje pred vadbo,Sanct Bernhard,100 ml,7.99 €,,,"['kakovostni\xa0rastlinski izvlečki', 'spodbuja pretok krvi', 'blaži bolečine in napetosti v mišicah']"
Rožni koren,Zein Pharma,90 kapsul,34.49 €,,,"['300 mg izvlečka na kapsulo', 'Rhodiola rosea', 'podpora živčnega sistema']"
"Kineziološki trak - rumen, 5cm x 5m",WUNDmed,1 kos,7.49 €,,,"['vrhunska kvaliteta', 'koži prijazen', 'za športnike']"
Izotonični napitek – limeta,Raab Vitalfood,600 g,18.99 €,,,"['prah za pripravo napitka', 'vitamin C, minerali, elektorliti', 'hidracija, mišice, vzdržljivost']"
3x HMB 2150 mg – prah za pripravo napitka,OnEnergy,skupaj 600 g,56.99 €,74.97 €,-24%,"['za športnike', 'z vitaminom B6', 'nevtralnega okusa']"
Kofein,Genius Nutrition,90 tablet,9.99 €,10.99 €,-9%,"['učinkovita absorpcija', 'visok dnevni odmerek', 'za fizično aktivne']"
Masažno olje za mišice,Sanct Bernhard,250 ml,20.99 €,,,"['vsebuje naravna olja', 'pomirjujoč učinek', 'nega utrujene kože']"
Whey proteini - iz sirotke,Intenson,600 g,25.99 €,,,"['vanilijeva krema', 'odlična absorpcija', 's sladilom sukraloza']"
Kolagen hidrolizat,Intenson,60 g,7.99 €,,,"['za\xa0starejše ljudi', '100 % naravno', 'za fizično aktivne']"
Kompleks aminokislin,QNT,200 tablet,22.99 €,27.99 €,-18%,"['18 aminokislin', 'za športnike in fizično aktivne', 'idealno razmerje esencialnih aminokislin']"
3x Tavrin 1000 mg,OnEnergy,skupaj 540 kapsul,35.99 €,56.97 €,-37%,"['esencialna aminokislina', '1000 mg v 2 kapsulah', 'za pred in po vadbi']"
Pro+ izotonični napitek – limona,AllNutrition,720 g,20.99 €,,,"['odličen sadni okus', 'izotonični energijski napitek', 'z vitaminsko-mineralnim kompleksom']"
CLA Forte,AllNutrition,90 kapsul,14.49 €,,,"['konjugirana linolna kislina', 'Omega-6', '1000 mg CLA na 1 kapsulo']"
3x L-tavrin 1000 mg,HealthyWorld®,skupaj 540 kapsul,35.99 €,44.97 €,-20%,"['aktivna oblika\xa0tavrina', 'pogojno esencialna aminokislina', '1000 mg v 2 kapsulah']"
Tirozin,AllNutrition,120 kapsul,17.99 €,,,"['z dodanim tavrinom', 'za športnike', 'optimalni odmerek']"
3x BIO Guarana v prahu,FutuNatura,skupaj 750 g,68.99 €,89.97 €,-23%,"['Paullinia cupana', 'iz semen guarane', 'brez aditivov']"
Beta-alanin v prahu,AllNutrition,250 g,8.99 €,10.99 €,-18%,"['s tavrinom in vitaminom B6', 'za napitek', 'za pripravo 250 napitkov']"
3x L-glutamin 4500 mg MEGA CAPS,OnEnergy,skupaj 1200 kapsul,53.99 €,80.97 €,-33%,"['4500 mg v 6 kapsulah', 'aminokislina', 'za aktivne, športnike, fitneserje']"
Glukozamin + hondroitin,Vita World,100 kapsul,23.49 €,,,"['pakiranje zadostuje za 50 dni', 'vezivno tkivo in hrustanec', 'dobra absorpcija']"
Veganski Alpha EAA – kola,ProFuel,462 g,33.49 €,,,"['pred, med in po vadbi', 's sladilom sukraloza', '8 esencialnih aminokislin']"
Veganski Alphaminos BCAA 2:1:1 – rdeča pomaranča,ProFuel,300 g,25.99 €,,,"['za več energije', 's sladilom sukraloza', 'kompleks 3 aminokislin']"
3x Magnezij 165 mg,HealthyWorld®,skupaj 270 gumi bonbonov,38.99 €,59.97 €,-35%,"['za mišice + živčni sistem', '2 obliki magnezija', 'okus citrusov']"
3x HGH Night - Natural HGH Booster,OnEnergy,skupaj 180 kapsul,26.99 €,44.97 €,-40%,"['ustvarjeno za športnike', 'GABA + arginin + lizin', 'super izkoristek']"
FIT Protein shake za ženske,AllNutrition,500 g,21.99 €,,,"['sirotkine beljakovine', 'okus vanilije', 's Q10 in vitamini']"
Masažna tekočina – planinski bor z arniko,WUNDmed,500 ml,8.99 €,,,"['za sproščujočo masažo', 'pri športu, v prostem času ali na potovanju', 'osvežilen zeliščni vonj']"
L-tirozin,OnEnergy,500 g,17.99 €,19.99 €,-10%,"['aminokislina v prahu', 'nevtralnega okusa', 'visoka koncentracija']"
Konjski balzam - hladilni,Virde,200 ml,7.99 €,,,"['za masažo', 'za nego', 'občutek hlajenja']"
Gabezov gel,Virde,200 ml,5.49 €,,,"['nega kože', 'visoka kvaliteta', 'iz izvlečka gabeza']"
Glicin 500 mg,Zein Pharma,120 kapsul,24.49 €,25.49 €,-4%,"['v 100 % bioaktivni L-obliki', 'aminokislina', 'podpora telesu']"
Beta-alanin v prahu,FutuNatura,500 g,9.99 €,14.99 €,-33%,"['aminokislina v prahu', 'za pripravo napitka', 'nevtralnega okusa']"
"EAA v prahu – malina, češnja, jagoda",OnEnergy,500 g,24.99 €,29.99 €,-17%,"['7 esencialnih aminokislin', 'prah za pripravo napitka', 's priloženo merilno žličko']"
Acetil-L-karnitin 1000 mg,Vita World,120 kapsul,40.99 €,,,"['visoka vsebnost', 'odlična absorpcija', 'visok odmerek']"
3x Liposomski luteolin 500 mg,OnEnergy,skupaj 180 kapsul,41.99 €,59.97 €,-30%,"['naravni rastlinski flavonoid', '500 mg\xa0luteolina v dnevnem odmerku', 'izboljšana biorazpoložljivost']"
L-lizin,Nature Love,180 kapsul,15.99 €,,,"['hidrokloridna oblika', 'esencialna aminokislina', 'hitra absorpcija']"
Magnezijev klorid - kristali,Zechsal,750 g,10.99 €,,,"['sprostitev in poživitev', 'za različne kopeli', 'zlahka se raztopi']"
Guarana,Sanct Bernhard,250 tablet,18.99 €,,,"['z vitaminom C in magnezijem', 'brez obremenjevanja želodca', 'blag in dolgotrajen učinek']"
Vražji (hudičev) krempelj balzam,Sanct Bernhard,150 ml,12.49 €,14.49 €,-14%,"['blagodejni učinki', 'nega kože', 'hitro učinkovanje']"
3x Shilajit Mumie Extract 10:1,HealthyWorld®,skupaj 360 kapsul,68.99 €,89.97 €,-23%,"['dragocena ajurvedska smola', 'Asphaltum punjabianum', 'fulvična kislina']"
3x Ašvaganda KSM-66®,OnEnergy,skupaj 540 kapsul,41.99 €,59.97 €,-30%,"['Withania somnifera', 'podpora telesni in duševni zmogljivosti', 'patentiran izvleček KSM-66®']"
WHEY proteini iz sirotke – čokoladni piškoti,AllNutrition,908 g,24.99 €,34.99 €,-29%,"['za mišice - visoka vsebnost beljakovin', 'za okusen proteinski shake', 'znižano zaradi roka uporabe']"
3x L-karnozin 1000 mg,HealthyWorld®,skupaj 360 kapsul,68.99 €,89.97 €,-23%,"['1000 mg v 2 kapsulah', 'visoka biorazpoložljivost', 'za športnike, starejše ...']"
HYDRO Energijski gel s kofeinom – kola,Vitaldin Sport,24 x 55 ml,28.99 €,,,"['hiter vir energije', 'z vitaminom B6', 'enostavno uživanje brez vode']"
3x BIO Črna maca v prahu,FutuNatura,skupaj 1500 g,49.49 €,65.97 €,-25%,"['naravna spolnost', 'optimalna vzdržljivost', 'vitalnost']"
L-treonin 500 mg,Vita World,120 kapsul,27.49 €,,,"['aktivna oblika', 'aminokislina', 'optimalna vsebnost']"
3x Pre-Workout – prah za pripravo napitka,OnEnergy,skupaj 930 g,53.99 €,74.97 €,-28%,"['ustvarjeno za športnike', 'za koncentracijo in vzdržljivost', 'kofein, aminokisline in vitamini']"
iTest – kompleks za moške,Genius Nutrition,90 kapsul,19.99 €,,,"['formula za moško moč', 'z ašvagando, maco in damiano', 'podpora testosteronu']"
Tavrin,Zein Pharma,120 kapsul,19.49 €,,,"['visoka vsebnost', '2-aminoetanesulfonska kislina', 'aminokislina']"
Kalijev citrat,Bioherba,100 kapsul,13.99 €,,,"['628 mg kalija v 4 kapsulah', 'za mišice in živčevje', 'vzdrževanje krvnega tlaka']"
3x Red Panax Ginseng – izvleček rdečega ginsenga 1200 mg,OnEnergy,skupaj 360 kapsul,41.99 €,74.97 €,-44%,"['1200 mg na 2 kapsuli', 'za vitalnost in energijo', 'podpira kognitivne funkcije']"
L-karnitin 400 mg,Sanct Bernhard,200 kapsul,23.49 €,,,"['aktivna oblika', 'visoka vsebnost', '400 mg na 1 kapsulo']"
Konopljin balzam – topli,Virde,200 ml,6.99 €,,,"['grelni učinek', 'naravna podpora koži', 'konopljin izvleček']"
Zelena kava,AllNutrition,90 kapsul,16.49 €,18.99 €,-13%,"['Coffea arabica', 'visok delež klorogenske kisline', '500 mg izvlečka na 1 kapsulo']"
HMB 1000 mg,QNT,120 kapsul,16.99 €,20.99 €,-19%,"['beta-hidroksi beta-metilbutirat', 'za športnike', 'podpora ob\xa0telesnih naporih']"
Izolat sirotkinih beljakovin - bela čokolada,AllNutrition,908 g,46.99 €,,,"['25,5 g beljakovin na 1 porcijo', 'visoka vsebnost beljakovin', 'za okusen proteinski shake']"
